Package Information,,,,Facebook,,,,,,,Instagram,,,,,TOTAL Social Media Stats,,,,PAID ADS,,,,,,,
,,,,Interactions,,,,Statistics,,,Interactions,,,,Statistics,Reach,Reactions,Shares,Comments,,,,,,,,
Package,Country,Date Published,Validity Period,Reactions,Comments,Shares,Saves,Reach,Total clicks,Link clicks,Reactions,Comments,Shares,Saves,Reach,,,,,Objective,Start Date,End Date,Messaging conversations,CPR $,Spend $,Impressions,Reach
Picture,Singapore,"16 December 2025, 14:30",22nd December 2025,4,0,0,1,1256,"2
",0,5,0,0,0,360,1616,9,0,0,,,,,,,,
Picture,Singapore,"16 December 2025, 14:39",23rd of December 2025,5,0,0,0,1646,4,0,7,0,1,0,412,2058,12,1,0,,,,,,,,
Picture,Singapore,"16 December 2025, 14:45",23rd of December 2025,4,0,0,1,1820,6,3,8,0,3,0,511,2331,12,3,0,,,,,,,,
Picture,Singapore,"16 December 2025, 14:51",22nd December 2025,5,1,0,0,1948,11,5,11,0,4,5,479,2427,16,4,1,,,,,,,,
Picture,Malaysia,"15 January 2026, 12:10",31st March 2026 ,18,2,1,2,5637,310,79,17,2,14,5,1117,6754,35,15,4,Messeging,21-Jan-26,25-Jan-26,24,0.3,7.15,4891,3274
Picture,Malaysia,"16 January 2026, 12:21",31st March 2026 ,68,6,5,7,13385,910,321,22,0,40,20,1648,15033,90,45,6,Messeging,21-Jan-26,25-Jan-26,74,0.36,27.95,17999,11448
Picture,Malaysia,"17 January 2026, 11:28",28th January 2026,5,0,1,1,2904,8,2,7,0,1,3,789,3693,12,2,0,,,,,,,,
Picture,Maldives,"23 January 2026, 12:10",28th January 2026,57,17,11,10,14587,1288,392,41,0,50,28,2658,17245,98,61,17,Messeging,23-Jan-26,27-Jan-26,106,0.31,33.34,26158,14305
Picture,Singapore,"02 February 2026, 12:34",31st March 2026,7,2,0,1,995,36,2,80,0,131,78,5954,6949,87,131,2,,,,,,,,
Picture,India - Kerala,"05 February 2026, 14:50",31st March 2026,1,0,0,2,605,10,0,18,0,14,5,1107,1712,19,14,0,,,,,,,,
Picture,Malaysia - Langkawi,"12 February 2026, 15:02","April 30th, 2026",3,2,1,1,749,13,1,15,0,1,2,464,1213,18,2,2,,,,,,,,
Picture,Malaysia,"16 February 2026, 12:38","27th February, 2026",41,0,4,13,9785,684,233,15,0,6,0,352,10137,56,10,0,,,,,,,,
Picture,Singapore,"16 February 2026, 13:01",27th February to 2nd March 2026,33,0,1,1,7362,392,135,7,0,3,0,380,7742,40,4,0,Messeging,18-Feb-26,21-Feb-26,42,0.91,38.35,17747,8881
Picture,Malaysia,"19 February 2026, 16:45",30th April 2026,1,0,0,0,142,5,3,17,0,6,5,357,499,18,6,0,Messeging,18-Feb-26,21-Feb-26,67,0.54,36.48,22479,12195
